Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,Refrigerator_dev_599393_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption
0.00,96.00,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,0.00,0.00
0.00,96.00,0.00,2.00,127.69,0.00
0.00,96.00,0.00,2.00,136.30,0.00
0.00,96.00,0.00,2.00,128.36,0.00
0.00,95.75,0.00,2.00,124.99,0.00
0.00,92.00,0.00,2.00,122.98,0.00
0.00,92.24,0.00,2.00,121.24,0.00
0.00,92.12,0.00,2.00,118.88,0.00
0.00,92.38,0.00,2.00,117.00,0.00
0.00,92.00,0.00,2.00,116.41,0.00
0.00,92.00,0.00,2.00,100.61,0.00
0.00,92.00,0.00,2.00,0.00,0.00
0.00,92.00,0.00,2.00,0.00,0.00
0.00,92.00,0.00,2.00,0.00,0.00
0.00,92.00,0.00,2.00,0.00,0.00
0.00,93.38,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,93.88,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,93.38,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,73.45,0.00
0.00,94.00,0.00,2.00,140.46,0.00
0.00,94.00,0.00,2.00,130.86,0.00
0.00,94.00,0.00,2.00,126.77,0.00
0.00,94.00,0.00,2.00,126.00,0.00
0.00,94.00,0.00,2.00,119.49,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,94.00,0.00,2.00,0.00,0.00
0.00,9.88,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,79.40,0.00
0.00,0.00,0.00,2.00,142.18,0.00
0.00,0.00,0.00,2.00,131.88,0.00
0.00,0.00,0.00,2.00,127.21,0.00
0.00,0.00,0.00,2.00,125.69,0.00
0.00,0.00,0.00,2.00,125.47,0.00
0.00,0.00,0.00,2.00,75.81,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,64.16,0.00
0.00,0.00,0.00,2.00,144.83,0.00
0.00,0.00,0.00,2.00,133.91,0.00
0.00,0.00,0.00,2.00,128.74,0.00
0.00,0.00,0.00,2.00,126.36,0.00
0.00,0.00,0.00,2.00,126.00,0.00
0.00,0.00,0.00,2.00,96.59,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,106.95,0.00
0.00,0.00,0.00,2.00,142.72,0.00
0.00,0.00,0.00,2.00,132.37,0.00
0.00,0.00,0.00,2.00,128.55,0.00
0.00,0.00,0.00,2.00,126.29,0.00
0.00,0.00,0.00,2.00,126.00,0.00
0.00,0.00,0.00,2.00,68.64,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,72.00,0.00
0.00,0.00,0.00,2.00,144.43,0.00
0.00,0.00,0.00,2.00,133.08,0.00
0.00,0.00,0.00,2.00,128.05,0.00
0.00,0.00,0.00,2.00,126.65,0.00
0.00,0.00,0.00,2.00,126.00,0.00
0.00,0.00,0.00,2.00,102.16,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
42.33,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,3.73
45.00,0.00,0.00,2.00,0.00,15.00
45.00,0.00,0.00,2.00,0.00,14.29
45.00,0.00,0.00,2.00,0.00,13.00
45.00,0.00,0.00,2.00,0.00,13.00
45.00,0.00,0.00,2.00,0.00,5.56
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,145.02,0.00
45.00,0.00,0.00,2.00,140.38,0.00
45.00,0.00,0.00,2.00,131.48,0.00
45.00,0.00,0.00,2.00,128.60,0.00
45.00,0.00,0.00,2.00,126.02,0.00
45.00,0.00,0.00,2.00,126.00,0.00
45.00,0.00,0.00,2.00,54.82,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
44.83,0.00,0.00,2.00,0.00,0.00
44.64,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,13.25,0.00
45.00,0.00,0.00,2.00,148.28,0.00
45.00,0.00,0.00,2.00,139.02,0.00
45.00,0.00,0.00,2.00,130.76,0.00
45.00,0.00,0.00,2.00,127.35,0.00
45.00,0.00,0.00,2.00,126.00,0.00
45.00,0.00,0.00,2.00,126.00,0.00
45.00,0.00,0.00,2.00,51.49,0.00
45.00,0.00,0.00,2.00,0.00,0.00
45.00,0.00,0.00,2.00,0.00,0.00
28.32,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,91.89,0.00
0.00,0.00,0.00,2.00,146.04,0.00
0.00,0.00,0.00,2.00,135.10,0.00
0.00,0.00,0.00,2.00,130.45,0.00
0.00,0.00,0.00,2.00,128.36,0.00
0.00,0.00,0.00,2.00,128.00,0.00
0.00,0.00,0.00,2.00,99.19,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,1.80,0.00
0.00,0.00,0.00,2.00,0.85,0.00
0.00,0.00,0.00,2.00,123.70,0.00
0.00,0.00,0.00,2.00,142.40,0.00
0.00,0.00,0.00,2.00,132.90,0.00
0.00,0.00,0.00,2.00,128.90,0.00
0.00,0.00,0.00,2.00,127.80,0.00
0.00,0.00,0.00,2.00,126.24,0.00
0.00,0.00,0.00,2.00,71.47,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,86.32,0.00
0.00,0.00,0.00,2.00,145.19,0.00
0.00,0.00,0.00,2.00,135.92,0.00
0.00,0.00,0.00,2.00,129.90,0.00
0.00,0.00,0.00,2.00,127.48,0.00
0.00,0.00,0.00,2.00,126.00,0.00
0.00,0.00,0.00,2.00,126.00,0.00
0.00,0.00,0.00,2.00,19.93,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,2.00,0.00,0.00
0.00,0.00,0.00,5.19,0.00,0.00
0.00,0.00,37.36,129.37,0.00,0.00
0.00,0.00,43.00,108.12,9.30,0.00
0.00,0.00,43.00,108.52,151.80,0.00
0.00,0.00,42.61,98.51,142.06,0.00
0.00,0.00,42.20,97.11,132.70,0.00
0.00,0.00,41.60,97.33,130.26,0.00
0.00,0.00,41.02,97.57,125.88,0.00
0.00,0.00,41.00,100.42,126.17,0.00
0.00,0.00,41.00,105.70,102.40,0.00
0.00,0.00,41.00,107.67,0.00,0.00
0.00,0.00,41.00,103.46,0.00,0.00
0.00,0.00,41.00,103.74,0.00,0.00
0.00,0.00,41.00,101.96,0.00,0.00
0.00,0.00,41.00,116.51,0.00,0.00
0.00,0.00,41.00,98.90,0.00,0.00
0.00,0.00,41.00,100.12,0.00,0.00
0.00,0.00,41.00,98.84,0.00,0.00
0.00,0.00,41.00,99.44,0.00,0.00
0.00,0.00,41.00,99.58,0.00,0.00
0.00,0.00,31.51,100.61,0.00,0.00
0.00,0.00,0.00,98.64,0.00,0.00
0.00,0.00,0.00,97.71,0.00,0.00
0.00,0.00,34.17,103.65,0.00,0.00
0.00,0.00,41.00,99.42,0.00,0.00
0.00,0.00,41.00,100.79,0.00,0.00
0.00,0.00,41.00,102.33,0.00,0.00
0.00,0.00,41.00,103.88,0.00,0.00
0.00,0.00,41.00,103.99,0.00,0.00
0.00,0.00,41.00,102.40,12.89,0.00
0.00,0.00,41.00,100.83,151.86,0.00
0.00,0.00,41.00,99.59,142.82,0.00
0.00,0.00,41.00,99.66,132.95,0.00
0.00,0.00,41.00,98.98,129.86,0.00
0.00,0.00,41.00,100.95,128.00,0.00
0.00,0.00,40.78,102.32,128.00,0.00
0.00,0.00,39.95,98.07,64.44,0.00
0.00,0.00,40.25,102.21,0.00,0.00
0.00,0.00,39.32,100.35,0.65,0.00
0.00,0.00,38.67,101.31,0.22,0.00
0.00,0.00,38.25,100.00,0.00,0.00
0.00,0.00,38.08,96.97,0.00,0.00
0.00,0.00,38.00,97.83,0.00,0.00
0.00,0.00,38.00,98.41,0.00,0.00
0.00,0.00,38.36,102.56,0.14,0.00
0.00,0.00,38.32,100.06,0.00,0.00
0.00,0.00,38.00,107.87,0.00,0.00
0.00,0.00,38.00,101.13,0.00,0.00
0.00,0.00,38.00,103.27,0.00,0.00
0.00,0.00,38.04,105.88,0.00,0.00
0.00,0.00,38.00,101.41,0.00,0.00
0.00,0.00,38.00,101.94,0.00,0.00
0.00,0.00,38.00,102.37,104.60,0.00
0.00,0.00,38.00,101.57,142.89,0.00
0.00,0.00,38.00,100.80,132.36,0.00
0.00,0.00,38.00,101.63,127.69,0.00
0.00,0.00,38.00,101.52,126.00,0.00
0.00,0.00,38.00,101.20,126.00,97.18
0.00,0.00,38.21,103.23,79.60,113.22
0.00,0.00,38.00,105.10,0.00,113.00
0.00,0.00,38.00,104.49,0.00,112.73
0.00,0.00,38.00,102.27,0.00,112.38
0.00,0.00,38.00,104.68,0.00,111.33
0.00,0.00,38.00,103.55,0.00,112.62
0.00,0.00,38.00,102.07,0.00,112.87
0.00,0.00,38.73,105.81,0.00,112.00
0.00,0.00,38.00,100.07,0.00,112.12
0.00,0.00,38.00,99.65,0.00,109.81
0.00,0.00,38.00,100.20,0.00,112.62
0.00,0.00,38.00,99.71,0.00,113.00
0.00,0.00,38.00,99.66,0.00,110.88
0.00,0.00,38.00,100.05,0.00,112.38
0.00,0.00,38.00,100.17,0.00,98.59
0.00,0.00,38.00,101.14,0.00,106.25
0.00,0.00,38.00,101.63,0.00,89.88
0.00,0.00,38.00,103.68,0.00,107.53
0.00,0.00,38.00,106.09,6.80,110.00
0.00,0.00,38.34,105.34,147.88,37.29
0.00,0.00,38.11,109.55,139.46,0.00
0.00,0.00,38.04,110.97,130.57,0.00
0.00,0.00,38.04,106.77,127.38,0.00
0.00,0.00,38.04,99.58,126.00,0.00
0.00,0.00,38.00,104.67,125.86,0.00
0.00,0.00,38.00,101.06,55.83,0.00
0.00,0.00,38.00,99.63,0.00,0.00
0.00,0.00,38.00,100.88,0.00,0.00
0.00,0.00,38.00,101.40,0.00,0.00
0.00,0.00,38.00,99.66,0.00,0.00
0.00,0.00,38.00,99.48,0.00,0.00
0.00,0.00,38.04,102.54,0.00,0.00
0.00,0.00,38.21,101.04,0.00,0.00
0.00,0.00,38.00,99.14,0.00,0.00
0.00,0.00,38.89,104.37,0.00,0.00
0.00,0.00,40.17,104.12,0.00,0.00
0.00,0.00,38.58,104.21,0.00,0.00
0.00,0.00,39.10,104.27,0.00,0.00
0.00,0.00,38.43,101.95,0.00,0.00
0.00,0.00,38.62,108.24,0.00,0.00
0.00,0.00,38.00,102.76,0.00,0.00
0.00,0.00,39.39,105.83,0.00,0.00
0.00,0.00,39.14,102.25,0.00,0.00
0.00,0.00,40.36,120.51,0.00,0.00
0.00,0.00,38.70,124.96,34.48,0.00
0.00,0.00,38.48,118.83,151.20,0.00
0.00,0.00,38.67,126.05,139.70,0.00
0.00,0.00,38.00,120.52,131.79,0.00
0.00,0.00,39.80,118.03,132.77,0.00
0.00,0.00,39.68,120.71,129.17,0.00
0.00,0.00,39.19,114.28,130.29,0.00
0.00,0.00,39.20,102.94,130.88,0.00
0.00,0.00,40.35,111.83,3.07,0.00
0.00,0.00,40.32,122.21,0.00,0.00
0.00,0.00,38.96,111.22,0.10,0.00
0.00,0.00,38.18,108.71,0.00,0.00
0.00,0.00,39.39,115.17,0.00,0.00
0.00,0.00,38.70,108.39,0.00,0.00
0.00,0.00,38.62,108.10,0.00,0.00
0.00,0.00,38.64,109.29,0.00,0.00
0.00,0.00,38.00,107.15,0.00,0.00
0.00,0.00,38.00,105.73,0.00,0.00
0.00,0.00,38.00,105.99,0.00,0.00
0.00,0.00,38.00,107.08,0.00,0.00
0.00,0.00,38.00,109.68,1.43,0.00
0.00,0.00,38.00,108.21,144.37,0.00
0.00,0.00,38.11,109.53,138.48,0.00
0.00,0.00,38.00,110.13,130.12,0.00
0.00,0.00,38.18,110.35,126.99,0.00
0.00,0.00,38.26,107.91,126.00,0.00
0.00,0.00,38.00,121.31,126.00,0.00
0.00,0.00,38.00,116.44,14.88,0.00
0.00,0.00,38.00,113.86,0.00,0.00
0.00,0.00,38.00,106.45,0.00,0.00
0.00,0.00,38.00,108.16,0.00,0.00
0.00,0.00,38.21,114.15,0.00,0.00
0.00,0.00,38.30,108.55,0.00,0.00
0.00,0.00,38.00,109.27,0.00,0.00
0.00,0.00,38.38,107.75,0.00,0.00
0.00,0.00,38.00,114.73,0.00,0.00
0.00,0.00,38.00,108.72,0.00,0.00
0.00,0.00,38.00,105.87,0.00,0.00
0.00,0.00,38.00,109.70,0.00,0.00
0.00,0.00,38.00,116.71,1.04,0.00
0.00,0.00,38.00,119.96,0.00,0.00
0.00,0.00,38.00,118.76,61.03,0.00
0.00,0.00,38.00,119.35,143.29,0.00
0.00,0.00,38.00,120.37,134.00,0.00
0.00,0.00,11.55,118.72,127.40,0.00
0.00,0.00,18.26,116.04,125.98,0.00
0.00,0.00,39.05,109.84,125.75,0.00
0.00,0.00,38.00,110.23,108.49,0.00
0.00,0.00,38.00,108.33,0.00,0.00
0.00,0.00,38.00,110.96,0.00,0.00
0.00,0.00,38.00,107.39,0.00,0.00
0.00,0.00,38.00,108.06,0.00,0.00
0.00,0.00,38.00,107.80,0.00,0.00
0.00,0.00,38.00,104.61,0.00,0.00
0.00,0.00,38.00,106.02,0.00,0.00
0.00,0.00,38.00,103.41,0.00,0.00
0.00,0.00,38.15,107.36,0.00,0.00
0.00,0.00,41.00,107.11,0.00,0.00
0.00,0.00,38.87,115.56,0.00,0.00
0.00,0.00,38.00,113.14,0.00,0.00
0.00,0.00,38.00,112.47,0.00,0.00
0.00,0.00,38.00,105.20,0.00,0.00
0.00,0.00,38.00,101.41,0.00,0.00
0.00,0.00,38.00,104.35,0.00,0.00
0.00,0.00,38.00,103.94,0.00,0.00
0.00,0.00,38.00,105.43,8.78,0.00
0.00,0.00,38.00,105.53,148.88,0.00
0.00,0.00,38.00,102.38,139.57,0.00
0.00,0.00,38.00,102.28,131.47,0.00
0.00,0.00,38.00,101.57,128.26,0.00
0.00,0.00,38.00,104.24,126.46,0.00
0.00,0.00,38.00,106.55,126.00,0.00
0.00,0.00,39.79,110.80,70.51,0.00
0.00,0.00,40.82,100.93,0.00,0.00
0.00,0.00,40.63,100.54,0.00,0.00
0.00,0.00,38.87,101.93,0.00,0.00
0.00,0.00,38.43,100.77,0.00,0.00
0.00,0.00,38.71,101.99,0.00,0.00
0.00,0.00,39.05,107.13,0.00,0.00
0.00,0.00,38.25,102.76,0.00,0.00
0.00,0.00,38.76,107.04,0.00,0.00
0.00,0.00,38.90,107.02,0.00,0.00
0.00,0.00,38.98,108.57,0.00,0.00
34.10,0.00,38.90,102.37,0.00,0.00
45.00,0.00,38.14,102.37,0.00,0.00
45.00,0.00,38.00,100.86,0.00,0.00
45.00,0.00,38.72,110.11,0.00,0.00
45.00,0.00,38.84,111.31,0.00,0.00
45.00,0.00,38.25,110.46,0.00,0.00
45.00,0.00,39.23,106.31,64.37,0.00
45.00,0.00,38.00,107.08,145.98,0.00
45.00,0.00,38.00,103.67,135.23,0.00
45.00,0.00,38.35,107.84,128.91,0.00
45.00,0.00,38.04,105.51,126.07,0.00
45.00,0.00,38.00,111.07,125.84,0.00
45.00,0.00,38.11,109.51,125.78,0.00
45.00,0.00,38.00,109.51,5.88,0.00
45.00,0.00,40.20,117.13,0.00,0.00
45.00,0.00,38.94,117.04,0.00,0.00
45.00,0.00,39.64,121.31,0.00,0.00
45.00,0.00,40.32,118.20,0.00,0.00
45.00,0.00,40.20,118.54,0.00,0.00
45.00,0.00,39.71,116.16,0.00,0.00
45.00,0.00,38.57,109.64,0.00,0.00
45.00,0.00,38.00,101.98,0.00,0.00
45.00,0.00,38.00,102.85,0.00,0.00
45.00,0.00,38.00,102.61,0.00,0.00
45.00,0.00,38.00,102.39,0.00,0.00
45.00,0.00,25.44,102.25,0.00,0.00
45.00,0.00,5.71,102.70,0.00,0.00
45.00,0.00,40.46,103.40,0.00,0.00
45.00,0.00,40.39,110.42,0.00,0.00
45.00,0.00,38.94,107.11,0.00,0.00
45.00,0.00,38.00,105.72,0.00,0.00
45.00,0.00,38.00,105.44,11.58,0.00
45.00,0.00,38.48,107.36,149.00,0.00
45.00,19.87,39.05,107.14,140.23,0.00
45.00,183.60,38.00,103.62,131.83,0.00
45.00,183.00,38.50,106.56,128.87,0.00
45.00,183.00,38.00,108.39,126.67,0.00
45.00,183.00,38.00,106.68,126.00,0.00
44.82,182.91,40.52,106.11,78.28,0.00
45.00,183.00,40.53,101.90,0.00,0.00
45.00,183.00,40.29,102.10,0.00,0.00
45.00,182.91,39.89,107.75,0.00,0.00
45.00,183.00,40.25,109.70,0.00,0.00
45.00,183.00,39.59,109.46,0.00,0.00
45.00,183.00,38.00,108.75,0.00,0.00
45.00,183.00,38.00,110.52,0.00,0.00
45.00,181.95,38.00,109.47,0.00,0.00
45.00,181.00,38.00,109.20,0.00,0.00
45.00,181.00,38.00,104.92,0.00,0.00
45.00,181.00,38.00,106.81,0.00,0.00
45.00,181.00,38.00,105.52,0.00,0.00
45.00,181.00,38.00,106.50,0.00,0.00
45.00,181.00,38.00,112.48,0.00,0.00
45.00,181.00,38.00,102.20,0.00,0.00
45.00,181.00,38.00,102.08,0.00,0.00
45.00,181.50,38.00,101.47,0.00,0.00
45.00,181.10,38.00,101.20,0.00,0.00
45.00,181.00,39.79,101.82,41.64,0.00
45.00,181.00,41.00,101.35,151.25,0.00
45.00,181.00,41.00,103.24,138.30,0.00
45.00,181.70,41.00,103.33,130.54,32.52
45.00,182.24,41.00,103.39,128.00,105.43
45.00,182.10,41.00,104.22,126.36,108.85
45.00,181.18,41.00,100.38,126.00,110.38
45.00,181.00,30.22,101.27,120.04,108.89
45.00,181.00,0.00,102.06,0.00,108.70
45.00,181.00,0.00,100.50,0.00,109.33
45.00,181.00,0.00,100.33,0.00,107.55
45.00,181.19,0.00,101.01,0.00,109.25
45.00,181.00,0.00,100.41,0.00,105.41
45.00,181.00,0.00,100.07,0.00,107.95
45.00,181.00,0.00,99.37,0.00,110.30
45.00,181.00,0.00,101.73,0.00,109.80
45.00,181.70,0.00,100.00,0.00,108.43
