T1,T2
-5.6663387,-5.3106807
-5.6033732,-5.7721026
-5.2595924,-5.9391841
-5.3942375,-5.4799264
-5.1895994,-4.7284926
-2.3567112,-3.9058543
0.99704849,-2.8395628
5.9485594,-1.1128666
8.2754743,0.22375068
9.2199578,-0.24854453
6.6600141,0.49895033
6.6664793,3.215626
3.8327477,6.6819608
2.9262122,10.785413
1.8174561,13.604588
0.83614898,14.634347
0.698974,14.259063
0.7818974,13.07088
0.71547435,11.415215
0.90937456,9.4738665
0.21721152,6.8624608
0.27689951,3.735916
0.44348559,1.0808787
0.67870696,-0.91682718
1.513591,-2.0192187
2.6104568,-2.5803268
3.1218552,-2.3111784
3.5935348,-2.0579158
3.7835559,-1.6106482
3.5994378,2.2259496
4.1565706,5.5708257
2.8006746,7.2979115
2.0496978,8.1281247
-0.64005622,6.8304296
-1.8963598,3.6677416
-3.6874209,-1.0957689
-5.0324666,-6.2265989
-5.4431483,-10.811384
-5.7009136,-14.340439
-5.4445538,-16.32464
-4.4303584,-15.845904
-4.9349262,-14.875879
-6.3176388,-12.588248
-6.5160928,-10.010172
-4.8969782,-4.8470945
-4.2712579,1.6573964
0.57675334,7.0308408
7.4872804,10.165999
4.7699227,11.042528
4.9200281,9.1418678
6.3822909,5.8132237
6.773858,2.8040688
4.7626142,1.1250298
3.5732959,0.20856617
2.4912439,0.27190564
0.77568517,1.4696245
0.36514406,3.5297911
0.71162333,5.7669083
1.1701195,7.7255708
0.94586086,8.7973163
0.69939564,9.1842874
0.90341532,8.957905
1.1418412,8.4969159
1.7222488,7.5727735
-1.6636402,-14.718321
-1.5176107,-12.119468
-2.9804638,-7.8130073
-3.8411806,-4.8133319
-3.3281799,-3.7504599
-3.4951511,-2.7899145
-3.6728039,-1.9396169
-3.7880534,-0.93297262
-4.5981729,0.34890596
-5.0141954,1.4221405
-4.2127899,2.0461422
-2.094111,2.4108213
-0.18584118,2.4571367
-1.0215601,2.3523428
1.2286156,2.4054107
6.2029515,2.7538145
13.28714,3.3062656
7.9423753,4.204177
4.9245257,6.3053782
7.518201,7.9060708
4.3761068,7.9311763
2.6645959,8.9405908
1.1384961,10.092414
1.0686718,10.72438
1.5042305,10.501028
1.5649754,9.726653
0.78701335,8.6458176
0.020496697,7.4991884
-0.94757554,6.4014717
-0.65214336,5.1964073
-0.1438707,3.6274429
0.572565,1.7758684
1.3586507,-0.68473109
2.7778215,-3.4251704
1.9755446,-6.2006276
2.2737878,-9.1946759
1.1685734,-12.171843
-0.52708363,-12.993399
-2.5434715,-12.772211
-1.9388897,-10.737366
-3.083345,-6.2430473
-4.23078,-4.1904989
-3.9749824,-4.3908668
-3.3360506,-4.5531869
-2.8795502,-4.8492587
-2.8685875,-4.7583595
-2.5975545,-3.9590088
-1.0082923,-3.1216535
2.1063668,-2.0924575
1.8109346,-1.4149118
-0.66108222,-1.2800779
1.1691356,-1.3370847
3.6733661,-1.350633
5.3506676,-1.0828698
12.281377,-0.64226815
8.8857344,0.15078888
5.9747013,1.7475598
6.1349262,4.265902
4.5338018,7.0819175
3.5943781,9.4318797
1.8259733,12.326804
1.1958398,13.668218
1.0627407,13.614977
1.6726072,12.747538
0.73655657,11.282762
0.75443429,9.5712585
-0.27309065,7.3411968
0.26252706,4.8315117
1.073591,2.2923493
1.7108644,-0.11955849
2.1363317,-2.7454172
3.2250176,-5.6573964
2.2395502,-9.0756412
2.012818,-12.353209
1.6662263,-13.932691
-1.753085,-14.446056
-2.1194378,-13.144898
-1.9670274,-9.1423006
-3.6191145,-7.0697976
-4.0913563,-6.1253111
-4.7125791,-5.9569311
-5.556149,-5.5651986
-5.0504568,-4.7397468
-5.4490513,-3.4688886
-5.8392129,-1.8392815
-5.0712579,-0.53020236
-3.1676739,0.68568337
-1.8223753,1.7048371
-1.9250035,2.3630343
-1.0142516,2.8626339
0.98178496,3.1563251
5.6500351,3.5169354
8.6962755,4.2230495
12.852003,5.4271183
7.4358398,7.4576345
8.1270555,10.65296
4.8522839,10.614436
4.2262825,9.484255
2.8820801,9.0903582
0.79567112,8.7821664
0.9162052,8.585218
