Lamp__D3237E_Eight_Sec_Power_Consumption,Lamp_dev_D331DA_Eight_Sec_Power_Consumption,Monitor-TFT_dev_599185_Eight_Sec_Power_Consumption,PC-Desktop_dev_59ADA7_Eight_Sec_Power_Consumption,TV-LCD_dev_D33097_Eight_Sec_Power_Consumption
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
42.33,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,3.73
45.00,0.00,0.00,2.00,15.00
45.00,0.00,0.00,2.00,14.29
45.00,0.00,0.00,2.00,13.00
45.00,0.00,0.00,2.00,13.00
45.00,0.00,0.00,2.00,5.56
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
44.83,0.00,0.00,2.00,0.00
44.64,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
45.00,0.00,0.00,2.00,0.00
28.32,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,2.00,0.00
0.00,0.00,0.00,5.19,0.00
0.00,0.00,37.36,129.37,0.00
0.00,0.00,43.00,108.12,0.00
0.00,0.00,43.00,108.52,0.00
0.00,0.00,42.61,98.51,0.00
0.00,0.00,42.20,97.11,0.00
0.00,0.00,41.60,97.33,0.00
0.00,0.00,41.02,97.57,0.00
0.00,0.00,41.00,100.42,0.00
0.00,0.00,41.00,105.70,0.00
0.00,0.00,41.00,107.67,0.00
0.00,0.00,41.00,103.46,0.00
0.00,0.00,41.00,103.74,0.00
0.00,0.00,41.00,101.96,0.00
0.00,0.00,41.00,116.51,0.00
0.00,0.00,41.00,98.90,0.00
0.00,0.00,41.00,100.12,0.00
0.00,0.00,41.00,98.84,0.00
0.00,0.00,41.00,99.44,0.00
0.00,0.00,41.00,99.58,0.00
0.00,0.00,31.51,100.61,0.00
0.00,0.00,0.00,98.64,0.00
0.00,0.00,0.00,97.71,0.00
0.00,0.00,34.17,103.65,0.00
0.00,0.00,41.00,99.42,0.00
0.00,0.00,41.00,100.79,0.00
0.00,0.00,41.00,102.33,0.00
0.00,0.00,41.00,103.88,0.00
0.00,0.00,41.00,103.99,0.00
0.00,0.00,41.00,102.40,0.00
0.00,0.00,41.00,100.83,0.00
0.00,0.00,41.00,99.59,0.00
0.00,0.00,41.00,99.66,0.00
0.00,0.00,41.00,98.98,0.00
0.00,0.00,41.00,100.95,0.00
0.00,0.00,40.78,102.32,0.00
0.00,0.00,39.95,98.07,0.00
0.00,0.00,40.25,102.21,0.00
0.00,0.00,39.32,100.35,0.00
0.00,0.00,38.67,101.31,0.00
0.00,0.00,38.25,100.00,0.00
0.00,0.00,38.08,96.97,0.00
0.00,0.00,38.00,97.83,0.00
0.00,0.00,38.00,98.41,0.00
0.00,0.00,38.36,102.56,0.00
0.00,0.00,38.32,100.06,0.00
0.00,0.00,38.00,107.87,0.00
0.00,0.00,38.00,101.13,0.00
0.00,0.00,38.00,103.27,0.00
0.00,0.00,38.04,105.88,0.00
0.00,0.00,38.00,101.41,0.00
0.00,0.00,38.00,101.94,0.00
0.00,0.00,38.00,102.37,0.00
0.00,0.00,38.00,101.57,0.00
0.00,0.00,38.00,100.80,0.00
0.00,0.00,38.00,101.63,0.00
0.00,0.00,38.00,101.52,0.00
0.00,0.00,38.00,101.20,97.18
0.00,0.00,38.21,103.23,113.22
0.00,0.00,38.00,105.10,113.00
0.00,0.00,38.00,104.49,112.73
0.00,0.00,38.00,102.27,112.38
0.00,0.00,38.00,104.68,111.33
0.00,0.00,38.00,103.55,112.62
0.00,0.00,38.00,102.07,112.87
0.00,0.00,38.73,105.81,112.00
0.00,0.00,38.00,100.07,112.12
0.00,0.00,38.00,99.65,109.81
0.00,0.00,38.00,100.20,112.62
0.00,0.00,38.00,99.71,113.00
0.00,0.00,38.00,99.66,110.88
0.00,0.00,38.00,100.05,112.38
0.00,0.00,38.00,100.17,98.59
0.00,0.00,38.00,101.14,106.25
0.00,0.00,38.00,101.63,89.88
0.00,0.00,38.00,103.68,107.53
0.00,0.00,38.00,106.09,110.00
0.00,0.00,38.34,105.34,37.29
0.00,0.00,38.11,109.55,0.00
0.00,0.00,38.04,110.97,0.00
0.00,0.00,38.04,106.77,0.00
0.00,0.00,38.04,99.58,0.00
0.00,0.00,38.00,104.67,0.00
0.00,0.00,38.00,101.06,0.00
0.00,0.00,38.00,99.63,0.00
0.00,0.00,38.00,100.88,0.00
0.00,0.00,38.00,101.40,0.00
0.00,0.00,38.00,99.66,0.00
0.00,0.00,38.00,99.48,0.00
0.00,0.00,38.04,102.54,0.00
0.00,0.00,38.21,101.04,0.00
0.00,0.00,38.00,99.14,0.00
0.00,0.00,38.89,104.37,0.00
0.00,0.00,40.17,104.12,0.00
0.00,0.00,38.58,104.21,0.00
0.00,0.00,39.10,104.27,0.00
0.00,0.00,38.43,101.95,0.00
0.00,0.00,38.62,108.24,0.00
0.00,0.00,38.00,102.76,0.00
0.00,0.00,39.39,105.83,0.00
0.00,0.00,39.14,102.25,0.00
0.00,0.00,40.36,120.51,0.00
0.00,0.00,38.70,124.96,0.00
0.00,0.00,38.48,118.83,0.00
0.00,0.00,38.67,126.05,0.00
0.00,0.00,38.00,120.52,0.00
0.00,0.00,39.80,118.03,0.00
0.00,0.00,39.68,120.71,0.00
0.00,0.00,39.19,114.28,0.00
0.00,0.00,39.20,102.94,0.00
0.00,0.00,40.35,111.83,0.00
0.00,0.00,40.32,122.21,0.00
0.00,0.00,38.96,111.22,0.00
0.00,0.00,38.18,108.71,0.00
0.00,0.00,39.39,115.17,0.00
0.00,0.00,38.70,108.39,0.00
0.00,0.00,38.62,108.10,0.00
0.00,0.00,38.64,109.29,0.00
0.00,0.00,38.00,107.15,0.00
0.00,0.00,38.00,105.73,0.00
0.00,0.00,38.00,105.99,0.00
0.00,0.00,38.00,107.08,0.00
0.00,0.00,38.00,109.68,0.00
0.00,0.00,38.00,108.21,0.00
0.00,0.00,38.11,109.53,0.00
0.00,0.00,38.00,110.13,0.00
0.00,0.00,38.18,110.35,0.00
0.00,0.00,38.26,107.91,0.00
0.00,0.00,38.00,121.31,0.00
0.00,0.00,38.00,116.44,0.00
0.00,0.00,38.00,113.86,0.00
0.00,0.00,38.00,106.45,0.00
0.00,0.00,38.00,108.16,0.00
0.00,0.00,38.21,114.15,0.00
0.00,0.00,38.30,108.55,0.00
0.00,0.00,38.00,109.27,0.00
0.00,0.00,38.38,107.75,0.00
0.00,0.00,38.00,114.73,0.00
0.00,0.00,38.00,108.72,0.00
0.00,0.00,38.00,105.87,0.00
0.00,0.00,38.00,109.70,0.00
0.00,0.00,38.00,116.71,0.00
0.00,0.00,38.00,119.96,0.00
0.00,0.00,38.00,118.76,0.00
0.00,0.00,38.00,119.35,0.00
0.00,0.00,38.00,120.37,0.00
0.00,0.00,11.55,118.72,0.00
0.00,0.00,18.26,116.04,0.00
0.00,0.00,39.05,109.84,0.00
0.00,0.00,38.00,110.23,0.00
0.00,0.00,38.00,108.33,0.00
0.00,0.00,38.00,110.96,0.00
0.00,0.00,38.00,107.39,0.00
0.00,0.00,38.00,108.06,0.00
0.00,0.00,38.00,107.80,0.00
0.00,0.00,38.00,104.61,0.00
0.00,0.00,38.00,106.02,0.00
0.00,0.00,38.00,103.41,0.00
0.00,0.00,38.15,107.36,0.00
0.00,0.00,41.00,107.11,0.00
0.00,0.00,38.87,115.56,0.00
0.00,0.00,38.00,113.14,0.00
0.00,0.00,38.00,112.47,0.00
0.00,0.00,38.00,105.20,0.00
0.00,0.00,38.00,101.41,0.00
0.00,0.00,38.00,104.35,0.00
0.00,0.00,38.00,103.94,0.00
0.00,0.00,38.00,105.43,0.00
0.00,0.00,38.00,105.53,0.00
0.00,0.00,38.00,102.38,0.00
0.00,0.00,38.00,102.28,0.00
0.00,0.00,38.00,101.57,0.00
0.00,0.00,38.00,104.24,0.00
0.00,0.00,38.00,106.55,0.00
0.00,0.00,39.79,110.80,0.00
0.00,0.00,40.82,100.93,0.00
0.00,0.00,40.63,100.54,0.00
0.00,0.00,38.87,101.93,0.00
0.00,0.00,38.43,100.77,0.00
0.00,0.00,38.71,101.99,0.00
0.00,0.00,39.05,107.13,0.00
0.00,0.00,38.25,102.76,0.00
0.00,0.00,38.76,107.04,0.00
0.00,0.00,38.90,107.02,0.00
0.00,0.00,38.98,108.57,0.00
34.10,0.00,38.90,102.37,0.00
45.00,0.00,38.14,102.37,0.00
45.00,0.00,38.00,100.86,0.00
45.00,0.00,38.72,110.11,0.00
45.00,0.00,38.84,111.31,0.00
45.00,0.00,38.25,110.46,0.00
45.00,0.00,39.23,106.31,0.00
45.00,0.00,38.00,107.08,0.00
45.00,0.00,38.00,103.67,0.00
45.00,0.00,38.35,107.84,0.00
45.00,0.00,38.04,105.51,0.00
45.00,0.00,38.00,111.07,0.00
45.00,0.00,38.11,109.51,0.00
45.00,0.00,38.00,109.51,0.00
45.00,0.00,40.20,117.13,0.00
45.00,0.00,38.94,117.04,0.00
45.00,0.00,39.64,121.31,0.00
45.00,0.00,40.32,118.20,0.00
45.00,0.00,40.20,118.54,0.00
45.00,0.00,39.71,116.16,0.00
45.00,0.00,38.57,109.64,0.00
45.00,0.00,38.00,101.98,0.00
45.00,0.00,38.00,102.85,0.00
45.00,0.00,38.00,102.61,0.00
45.00,0.00,38.00,102.39,0.00
45.00,0.00,25.44,102.25,0.00
45.00,0.00,5.71,102.70,0.00
45.00,0.00,40.46,103.40,0.00
45.00,0.00,40.39,110.42,0.00
45.00,0.00,38.94,107.11,0.00
45.00,0.00,38.00,105.72,0.00
45.00,0.00,38.00,105.44,0.00
45.00,0.00,38.48,107.36,0.00
45.00,19.87,39.05,107.14,0.00
45.00,183.60,38.00,103.62,0.00
45.00,183.00,38.50,106.56,0.00
45.00,183.00,38.00,108.39,0.00
45.00,183.00,38.00,106.68,0.00
44.82,182.91,40.52,106.11,0.00
45.00,183.00,40.53,101.90,0.00
45.00,183.00,40.29,102.10,0.00
45.00,182.91,39.89,107.75,0.00
45.00,183.00,40.25,109.70,0.00
45.00,183.00,39.59,109.46,0.00
45.00,183.00,38.00,108.75,0.00
45.00,183.00,38.00,110.52,0.00
45.00,181.95,38.00,109.47,0.00
45.00,181.00,38.00,109.20,0.00
45.00,181.00,38.00,104.92,0.00
45.00,181.00,38.00,106.81,0.00
45.00,181.00,38.00,105.52,0.00
45.00,181.00,38.00,106.50,0.00
45.00,181.00,38.00,112.48,0.00
45.00,181.00,38.00,102.20,0.00
45.00,181.00,38.00,102.08,0.00
45.00,181.50,38.00,101.47,0.00
45.00,181.10,38.00,101.20,0.00
45.00,181.00,39.79,101.82,0.00
45.00,181.00,41.00,101.35,0.00
45.00,181.00,41.00,103.24,0.00
45.00,181.70,41.00,103.33,32.52
45.00,182.24,41.00,103.39,105.43
45.00,182.10,41.00,104.22,108.85
45.00,181.18,41.00,100.38,110.38
45.00,181.00,30.22,101.27,108.89
45.00,181.00,0.00,102.06,108.70
45.00,181.00,0.00,100.50,109.33
45.00,181.00,0.00,100.33,107.55
45.00,181.19,0.00,101.01,109.25
45.00,181.00,0.00,100.41,105.41
45.00,181.00,0.00,100.07,107.95
45.00,181.00,0.00,99.37,110.30
45.00,181.00,0.00,101.73,109.80
45.00,181.70,0.00,100.00,108.43
45.00,181.00,0.00,100.83,111.40
45.00,181.00,0.00,99.64,110.30
45.00,181.00,0.00,100.14,109.96
45.00,181.00,0.00,100.10,107.76
45.00,181.11,0.00,100.31,109.45
45.00,181.10,0.00,100.67,111.15
45.00,181.00,0.00,100.88,109.19
45.00,181.00,0.00,101.11,111.00
45.00,181.10,0.00,100.64,110.90
45.00,182.04,0.00,100.19,111.67
45.00,182.10,0.00,99.59,111.57
45.00,181.64,0.00,99.95,111.29
45.00,181.60,0.00,99.35,111.18
45.00,182.52,0.00,100.46,111.64
45.00,182.91,0.00,100.60,112.37
45.00,183.00,0.00,100.88,110.38
45.00,183.00,0.00,99.35,110.45
45.00,183.00,0.00,100.12,109.52
45.00,183.00,0.00,99.59,110.76
45.00,183.00,0.00,99.81,112.19
45.00,183.00,0.00,99.49,113.00
45.00,183.00,0.00,100.16,112.70
45.00,183.00,0.00,99.68,112.45
45.00,183.00,0.00,100.43,111.48
45.00,182.90,0.00,99.83,110.80
45.00,181.80,0.00,100.25,111.29
45.00,181.40,0.00,99.69,110.15
45.00,181.19,0.00,100.26,111.14
45.00,182.80,0.00,100.08,112.05
45.00,183.00,0.00,99.42,112.48
45.00,183.00,0.00,100.22,110.64
45.00,183.00,0.00,100.24,108.79
45.00,183.00,0.00,99.98,110.00
45.00,183.00,0.00,99.83,110.86
45.00,183.00,0.00,100.41,109.43
45.00,181.73,2.90,100.44,111.10
45.00,181.55,42.66,100.99,111.61
45.00,181.11,43.00,100.20,109.20
45.00,181.00,42.20,100.71,111.74
45.00,181.00,41.26,100.22,111.60
45.00,181.00,40.60,101.44,111.10
45.00,181.10,5.34,100.12,111.50
45.00,182.70,0.00,99.86,112.45
45.00,183.00,33.00,105.81,111.38
45.00,182.73,41.41,110.79,112.36
45.00,181.00,41.21,104.07,112.05
45.00,181.00,41.00,105.50,111.20
45.00,182.24,41.00,100.72,111.10
45.00,183.00,41.00,107.17,111.87
45.00,183.00,41.00,107.20,111.11
45.00,183.00,41.00,106.57,111.00
45.00,183.00,41.00,112.22,112.24
45.00,183.00,41.00,101.73,111.00
45.00,183.00,41.00,100.78,111.50
45.00,183.00,41.00,100.62,107.75
45.00,183.00,41.00,100.55,111.70
45.00,183.00,41.00,100.58,111.20
45.00,182.60,41.00,100.39,111.76
45.00,181.80,41.00,102.81,111.76
45.00,181.42,41.00,111.46,112.13
45.00,181.27,41.00,102.66,110.71
45.67,182.81,41.00,103.30,110.30
46.45,182.90,41.00,100.46,110.81
45.18,182.24,41.00,100.31,110.24
45.00,182.60,41.00,100.50,111.48
45.00,183.00,41.00,100.29,112.13
45.00,183.00,41.00,100.07,112.43
45.00,183.00,41.00,100.69,111.86
45.00,183.00,41.00,99.69,111.09
45.00,183.00,41.00,99.61,112.33
45.00,183.00,41.00,99.86,112.80
45.00,183.00,41.00,98.94,113.00
45.00,183.00,41.00,99.82,113.00
45.00,183.00,40.81,103.99,113.19
45.00,183.00,41.00,104.60,112.80
45.00,183.29,41.00,105.88,111.80
45.00,184.50,41.00,107.22,110.86
45.00,184.14,41.00,102.09,108.73
45.00,183.45,41.00,102.30,113.00
45.00,185.43,41.00,101.94,112.91
45.00,185.10,41.00,103.01,113.00
45.00,183.75,39.60,102.29,112.40
45.00,185.14,4.92,101.70,112.73
45.00,185.70,0.00,101.15,112.71
45.00,185.59,0.00,100.78,109.20
45.00,186.00,0.00,102.65,110.70
45.00,186.00,27.79,104.27,112.14
45.00,186.00,41.00,101.35,111.45
45.00,186.00,41.00,101.55,109.62
45.00,186.00,41.00,100.51,111.39
45.00,186.00,41.00,100.85,111.00
45.00,180.59,31.73,101.00,110.32
45.00,182.00,0.00,100.72,110.71
44.82,182.00,0.00,101.50,112.52
45.00,181.00,0.00,100.81,110.91
45.00,181.00,0.00,100.95,110.87
45.00,181.00,0.00,100.43,112.24
45.00,181.00,0.00,100.78,110.23
45.00,181.00,0.00,100.35,99.90
45.00,181.00,0.00,101.27,111.70
45.00,181.00,0.00,100.76,111.00
45.00,181.00,0.00,100.13,111.24
45.00,181.00,0.00,100.61,111.60
45.00,181.00,0.00,100.64,109.82
45.00,181.00,0.00,101.63,109.55
45.00,181.00,0.00,101.26,111.29
45.00,181.00,0.00,100.23,110.05
45.00,181.00,0.00,99.88,111.20
45.00,181.00,0.00,100.31,111.00
45.00,181.00,0.00,101.58,111.00
45.00,181.00,0.00,101.90,111.00
45.00,181.90,11.08,103.60,111.40
45.00,181.00,31.37,71.22,111.80
45.00,181.19,0.00,2.00,111.45
45.00,181.00,0.00,2.00,109.05
45.00,181.40,0.00,2.00,111.40
45.00,181.40,0.00,2.00,110.40
